Cluster,Numero de Accidentes por Cluster,Numero de accidentes por salida, numero de accidentes por Alcance, Numero de accidentes por Vuelco, Numero de accidentes por tijera, numero de accidentes por atropello
-1,301,122,107,42,9,21
0,13,5,1,7,0,0
1,12,5,3,4,0,0
2,30,3,16,11,0,0
3,31,9,12,8,2,0
4,22,10,12,0,0,0
5,24,10,7,4,0,3
6,32,7,18,3,0,4
7,7,5,2,0,0,0
8,55,9,33,12,0,1
9,5,1,4,0,0,0
10,6,4,0,2,0,0
11,16,11,1,3,0,1
12,6,1,5,0,0,0
13,29,2,26,0,0,1
14,6,3,3,0,0,0
15,24,14,10,0,0,0
16,19,4,9,6,0,0
17,26,2,18,6,0,0
18,19,8,11,0,0,0
19,13,3,0,10,0,0
20,6,2,4,0,0,0
21,12,4,7,1,0,0
22,14,4,7,3,0,0
23,7,4,3,0,0,0
24,20,0,8,12,0,0
25,56,4,44,7,1,0
26,18,10,4,0,0,4
27,6,1,4,1,0,0
28,31,3,23,2,3,0
29,5,1,4,0,0,0
30,13,8,4,1,0,0
31,8,4,1,3,0,0
32,9,0,3,5,0,1
33,5,3,2,0,0,0
34,23,5,11,0,7,0
35,6,0,0,6,0,0
36,5,0,5,0,0,0
37,20,6,0,14,0,0
38,18,6,12,0,0,0
39,5,2,2,1,0,0
40,16,4,11,1,0,0
41,17,6,1,10,0,0
42,12,8,4,0,0,0
43,17,5,9,2,0,1
44,12,2,9,1,0,0
45,37,4,14,19,0,0
46,10,3,7,0,0,0
47,27,7,7,2,8,3
48,27,5,16,5,0,1
49,5,4,1,0,0,0
50,22,10,6,6,0,0
51,30,2,22,6,0,0
52,13,2,6,4,0,1
53,8,4,3,1,0,0
54,17,2,15,0,0,0
55,11,8,2,0,0,1
56,7,0,4,2,0,1
57,6,3,2,1,0,0
58,6,0,6,0,0,0
59,14,5,1,8,0,0
60,22,0,8,14,0,0
61,11,11,0,0,0,0
62,5,2,2,1,0,0
63,10,2,2,6,0,0
64,6,6,0,0,0,0
65,14,9,5,0,0,0
66,13,9,4,0,0,0
67,5,0,5,0,0,0
68,5,0,4,1,0,0
69,8,4,4,0,0,0
70,6,3,2,1,0,0
71,6,1,1,3,0,1
72,9,0,9,0,0,0
73,7,6,0,1,0,0
74,16,4,4,7,0,1
75,6,5,1,0,0,0
76,9,0,0,9,0,0
77,6,6,0,0,0,0
78,6,4,0,1,0,1
79,7,1,1,5,0,0
80,19,6,8,0,5,0
81,15,6,0,9,0,0
82,5,2,2,1,0,0
83,6,5,1,0,0,0
84,12,5,7,0,0,0
85,10,2,4,4,0,0
86,23,10,9,4,0,0
87,7,6,0,1,0,0
88,17,5,7,5,0,0
89,9,6,1,1,1,0
90,11,3,3,4,0,1
91,20,12,4,4,0,0
92,18,12,3,3,0,0
93,8,0,8,0,0,0
94,10,2,3,5,0,0
95,7,5,2,0,0,0
96,11,2,0,9,0,0
97,19,12,7,0,0,0
98,10,4,1,3,0,2
99,16,3,0,13,0,0
100,5,5,0,0,0,0
101,22,10,4,0,8,0
102,6,2,0,4,0,0
103,11,5,0,0,6,0
104,13,5,0,8,0,0
105,7,0,3,4,0,0
106,5,5,0,0,0,0
107,8,4,0,3,0,1
108,10,4,2,4,0,0
109,7,5,2,0,0,0
110,8,2,5,1,0,0
111,7,2,2,2,1,0
112,5,4,1,0,0,0
113,18,10,6,2,0,0
114,5,4,1,0,0,0
115,12,9,3,0,0,0
116,15,9,3,3,0,0
117,5,0,5,0,0,0
118,9,1,0,8,0,0
119,8,0,7,0,0,1
120,5,2,3,0,0,0
